slug,title,provider,provider_slug,category,tags,level,price_type,price_amount,price_currency,duration_hours,url,summary,highlights,is_featured,display_order
azure-az900,Microsoft Certified: Azure Fundamentals (AZ-900),Microsoft,microsoft,cloud,azure|cloud|certification,beginner,paid,,INR,20,https://learn.microsoft.com/en-us/credentials/certifications/azure-fundamentals/,Microsoft's entry cloud certificate — the training is free and only the exam costs money.,Free study material|Recognised globally|Beginner friendly,false,170
gcp-associate-cloud-engineer,Google Cloud Associate Cloud Engineer,Google Cloud,google-cloud,cloud,gcp|cloud|certification,intermediate,paid,,INR,60,https://cloud.google.com/learn/certification/cloud-engineer,Google's practical cloud certificate — hands-on and well paid.,Hands-on exam|Growing demand in India|Valid for 2 years,false,180
coursera-google-it-support,Google IT Support Professional Certificate,Coursera,coursera,it,it-support|networking|google,beginner,paid,,INR,150,https://www.coursera.org/professional-certificates/google-it-support,A route into tech that does not require you to be a programmer.,No degree needed|Non-coding path|Built by Google,false,190
coursera-ibm-data-science,IBM Data Science Professional Certificate,Coursera,coursera,data,data-science|python|machine-learning|ibm,beginner,paid,,INR,200,https://www.coursera.org/professional-certificates/ibm-data-science,A long but thorough path from zero to your first data science projects.,Beginner friendly|Hands-on labs|Recognised employer name,false,200
coursera-meta-frontend,Meta Front-End Developer Professional Certificate,Coursera,coursera,web,react|javascript|frontend|meta,beginner,paid,,INR,180,https://www.coursera.org/professional-certificates/meta-front-end-developer,React and modern front-end taught by the company that built React.,Built by Meta|Strong React coverage|Portfolio projects,false,210
coursera-deeplearning-ai,Deep Learning Specialization,Coursera,coursera,ai,deep-learning|ai|neural-networks,intermediate,paid,,INR,120,https://www.coursera.org/specializations/deep-learning,The best-known deep learning course there is. Needs some Python and maths first.,Industry standard course|Taught by Andrew Ng|Needs Python basics,false,220
scaler-dsa,Data Structures and Algorithms,Scaler,scaler,dsa,dsa|interview|placement,intermediate,paid,,INR,,https://www.scaler.com/,Structured interview preparation with live classes and mentors. A serious financial commitment.,Live classes|Mentor support|Placement focused,false,230
great-learning-data-science,Data Science and Business Analytics programs,Great Learning,great-learning,data,data-science|analytics|pg-program,intermediate,paid,,INR,,https://www.mygreatlearning.com/,Longer university-linked programmes for people who want structure and a cohort.,University tie-ups|Cohort based|Career support included,false,240
simplilearn-full-stack,Full Stack Developer programs,Simplilearn,simplilearn,web,full-stack|javascript|react|nodejs,intermediate,paid,,INR,,https://www.simplilearn.com/,Instructor-led full stack training aimed at career switchers.,Instructor led|Capstone projects|Job assistance,false,250
pw-skills-data-analytics,Data Analytics programs,PW Skills,pw-skills,data,data-analysis|python|sql,beginner,paid,,INR,,https://pwskills.com/,"Noticeably cheaper than most paid options, which matters if budget is the blocker.",Low cost|Hindi and English|Beginner friendly,false,260
board-infinity-full-stack,Full Stack Development programs,Board Infinity,board-infinity,web,full-stack|web-development,beginner,paid,,INR,,https://www.boardinfinity.com/,Coaching-heavy programmes with one-to-one mentor time.,One-to-one mentoring|Placement support|Beginner friendly,false,270
comptia-a-plus,CompTIA A+,CompTIA,comptia,it,it-support|hardware|networking,beginner,paid,,INR,80,https://www.comptia.org/certifications/a,The standard entry certificate for IT support and hardware roles worldwide.,Globally recognised|Non-coding path|Entry level,false,280
google-intro-generative-ai,Introduction to Generative AI,Google Cloud Skills Boost,google-cloud,ai,generative-ai|llm|google,beginner,free,,INR,2,https://www.cloudskillsboost.google/,A short official Google course explaining what generative AI actually is and how it works.,Free|About one hour|Official Google content,false,290
aws-fundamentals-ml-ai,Fundamentals of Machine Learning and Artificial Intelligence,AWS,aws,ai,ai|machine-learning|generative-ai|aws,beginner,free,,INR,1,https://skillbuilder.aws/,"Explains how AI, machine learning and generative AI fit together, without any technical background needed.",Free|About one hour|No coding needed,false,300
nvidia-dli-generative-ai,Generative AI Explained and other free courses,NVIDIA,nvidia,ai,generative-ai|deep-learning|neural-networks|nvidia,beginner,free,,INR,3,https://www.nvidia.com/en-us/training/,Free self-paced technical courses from the company that builds the hardware AI runs on.,Free|Strong technical name|Self-paced,false,310
ibm-skillsbuild-ai,AI courses and digital badges,IBM SkillsBuild,ibm,ai,ai|machine-learning|ibm,beginner,free,,INR,20,https://skillsbuild.org/,A large free library of AI courses that award shareable digital badges.,Free|Digital badges|Wide choice of topics,false,320
microsoft-learn-ai-fundamentals,AI Fundamentals training path,Microsoft Learn,microsoft,ai,ai|azure|machine-learning,beginner,free,,INR,8,https://learn.microsoft.com/en-us/training/,Free official training covering AI basics and how it is used inside Microsoft tools.,Free training|Official Microsoft|Leads to the AI-901 exam,false,330
langchain-academy,LangChain Academy,LangChain,langchain,ai,ai-agents|llm|langchain|python,intermediate,free,,INR,10,https://academy.langchain.com/,Free training on building AI agents — one of the fastest-growing skills in job posts right now.,Free|Very current skill|Needs Python,false,340
huggingface-llm-course,LLM Course,Hugging Face,huggingface,ai,llm|nlp|transformers|python,intermediate,free,,INR,40,https://huggingface.co/learn/llm-course,The standard free course for working with language models hands-on. Needs Python first.,Free|Very hands-on|Needs Python,false,345
kaggle-intro-deep-learning,Intro to Deep Learning,Kaggle Learn,kaggle,ai,deep-learning|neural-networks|python,intermediate,free,,INR,4,https://www.kaggle.com/learn/intro-to-deep-learning,"Build your first neural network in a browser tab, with no setup at all.",Free|Very short|No installation needed,false,346
kaggle-ai-ethics,AI Ethics,Kaggle Learn,kaggle,ai,ai-ethics|responsible-ai,beginner,free,,INR,4,https://www.kaggle.com/learn/intro-to-ai-ethics,"Bias, fairness and where AI goes wrong — increasingly asked about in interviews.",Free|Short|Good interview talking point,false,347
freecodecamp-machine-learning-python,Machine Learning with Python,freeCodeCamp,freecodecamp,ai,machine-learning|python|tensorflow,intermediate,free,,INR,300,https://www.freecodecamp.org/learn/machine-learning-with-python/,"A free certificate covering practical machine learning, finishing with five real projects.",Completely free|Certificate included|Project-based,false,348
coursera-ai-for-everyone,AI For Everyone,Coursera,coursera,ai,ai|non-technical|strategy,beginner,paid,,INR,10,https://www.coursera.org/learn/ai-for-everyone,"Understand what AI can and cannot do, without writing a single line of code.",No coding needed|Short|Taught by Andrew Ng,false,349
anthropic-academy,Anthropic Academy,Anthropic,anthropic,ai,llm|claude|prompt-engineering,beginner,free,,INR,6,https://www.anthropic.com/learn,Free courses on building with Claude and writing better prompts. Training rather than a formal exam certificate.,Free|Practical|Training not an exam,false,350
aws-genai-developer-professional,AWS Certified Generative AI Developer – Professional,AWS,aws,ai,generative-ai|llm|aws|certification,advanced,paid,300,USD,120,https://aws.amazon.com/certification/,An advanced generative AI exam. Only worth attempting once you already build on AWS.,Advanced level|180 minute exam|Roughly 300 USD,false,370
azure-ai901-fundamentals,Microsoft Certified: Azure AI Fundamentals (AI-901),Microsoft,microsoft,ai,ai|azure|certification,beginner,paid,,INR,25,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/,"The entry Azure AI certificate. Book AI-901, not the old AI-900, which retired on 30 June 2026.",Free study material|Beginner friendly|Check the exam code,false,380
azure-ai103-apps-agents,Azure AI Apps and Agents Developer Associate (AI-103),Microsoft,microsoft,ai,ai-agents|azure|llm|certification,intermediate,paid,,INR,60,https://learn.microsoft.com/en-us/credentials/,The current Azure AI developer certificate. Replaced AI-102 which has now retired.,Covers AI agents|Current exam code|Needs coding,false,390
gcp-professional-ml-engineer,Google Cloud Professional Machine Learning Engineer,Google Cloud,google-cloud,ai,machine-learning|mlops|gcp|certification,advanced,paid,,INR,100,https://cloud.google.com/learn/certification/machine-learning-engineer,A serious technical exam for people already working in machine learning. Not a starting point.,Advanced level|Strong salary impact|Needs real ML experience,false,400
coursera-ibm-generative-ai,IBM Generative AI Engineering Professional Certificate,Coursera,coursera,ai,generative-ai|llm|rag|ibm,intermediate,paid,,INR,180,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,Focused specifically on generative AI and large language models rather than general machine learning.,Generative AI focused|Very current|Portfolio projects,false,410
coursera-google-ai-essentials,Google AI Essentials,Coursera,coursera,ai,ai|productivity|google|non-technical,beginner,paid,,INR,10,https://www.coursera.org/learn/google-ai-essentials,A short beginner course on using AI at work day to day. No coding involved.,No coding needed|Short|Built by Google,false,420
